DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,VA,67,854004.9254,273627.1045,220715.1791
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MO,90,712855.7778,236752.8,206654.7444
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,FL,92,832593.837,206538.2935,182445.3696
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NC,97,766194.6289,244566.0722,225871.6289
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,PA,100,1158111.9,252794.14,204263.68
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NY,110,969772.1364,340584.1818,281018.6091
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,IL,116,909458.3103,243969.2328,225483.8879
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,CA,169,1630680.402,330843.8876,304744.1006
001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,TX,218,822642.844,216849.2339,178653.9128
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,IN,11,577012,134565.6364,100391.1818
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,MI,11,420518.7273,150036.8182,141819
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,NY,11,858088.7273,231978.9091,213014.8182
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,PA,16,707895.0625,192322,130454.0625
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,IL,17,519272.6471,141633.1765,114658.1765
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,MN,17,418298.6471,132137.5882,127832.0588
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,OH,19,462784.4211,129697.5263,101056.3158
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,NC,23,550639.913,160452.3478,138071.6522
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,CA,24,779732.3333,182416.25,143169.5
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,TX,25,537839.92,142420.64,103734.96
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",HI,17,530286.5882,225585.3529,182051.6471
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AK,21,728953.9524,199525.5238,198182.2857
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MT,27,358513.5926,115325.2963,113511.1852
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",SD,31,378790.7742,117251.5484,114172.0645
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",RI,34,421273.3824,153569.0588,146493.7059
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",ID,37,323176.4595,111724.7568,105048.9459
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",ME,38,353566.6842,140640.8947,125660.3158
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",ND,54,330620.7778,122981.5926,118029.0185
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NH,54,527920.1296,189840.8519,165885.5926
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NM,54,350385.037,117331.4259,105698.8889
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",UT,81,352762.358,146528.0617,131787.4938
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",DE,93,301739.0108,134915.8817,121985.6022
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OR,95,498334.9684,184111.3474,176194.7263
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NE,99,366767.7475,119821.2424,108274.6162
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WV,113,256606.6372,98504.69027,91259.46903
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IA,117,375904.2735,123137.1624,103363.7863
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",KS,126,446440.7302,102125.5556,95234.98413
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",DC,134,536542.306,159407.0224,137547.1866
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WA,157,475708.465,140632.6497,131364.535
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CT,168,498527.0952,166419.7857,150247.8512
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OK,177,447742.2825,103148.6497,97057.94915
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CO,180,595436.0444,137475.6333,121831.6667
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MS,182,420413.9396,101817,95680.74176
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NV,187,675092.9733,114484.492,105414.6364
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AR,205,316870.5561,95066.43902,89411.94634
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WI,226,420822.6018,143086.1726,132119.4912
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",LA,239,427507.3515,108875.2803,98592.14226
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MN,243,408586.4486,155898.6626,134780.0658
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MD,259,152878.1699,141061.9961,135436.9112
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AZ,302,456531.4007,112541.1325,107299.2616
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",SC,331,460428.2115,117052.6616,106632.9275
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AL,332,487008.4428,106601.6084,102179.1114
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",KY,335,417284.4836,126385.4478,113701.8149
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MA,369,451674.122,174470.9106,162030.7398
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IN,411,363125.8175,115332.3796,99492.10219
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",VA,433,499277.1501,143915.5473,118609.642
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",TN,473,368793.9683,100120.2643,92101.5074
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MO,488,420893.9836,120969.1393,111699.0492
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NC,510,368318.9706,130073.1255,116188.0255
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",GA,523,425091.7935,115375.4761,107813.1377
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NJ,621,705312.1659,138514.058,119514.657
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MI,663,331587.2353,131968.8959,118198.2715
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IL,743,474713.93,132518.6124,116505.4926
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OH,760,435741.9171,125290.7,106828.6
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",PA,994,688828.8169,139074.8612,115276.4477
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY,1219,559858.9598,186198.8901,165431.5324
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",FL,1274,566743.3509,119557.1154,106640.1107
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CA,1284,949988.4984,185902.9393,173606.616
"003 - ECMO OR TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",TX,1341,512489.513,121420.5369,107157.2528
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",VT,12,227753.4167,123072.5,117811.9167
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WY,18,203244.4444,98346.72222,78702.5
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MT,24,187999.375,65763.54167,64907
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ME,26,249689.1923,95426.80769,77193.53846
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",HI,28,429627.5357,145587.4286,111618.3214
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AK,29,412846.8276,119884.6897,118869.1724
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",SD,31,239996.9032,84004.16129,71989.93548
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",RI,35,291415.0857,98487.02857,91891.62857
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NH,44,246341.1364,89549.18182,85377.22727
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ID,46,249988.1087,75062.82609,69795.73913
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",UT,49,181081.0408,67281.7551,61044.61224
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ND,54,174589.7407,68649.83333,63187.87037
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",DE,69,226105.7391,91885.78261,82621.91304
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OR,72,319755.3333,111367.5417,103379.7778
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NE,78,219115.141,70744.20513,63358.02564
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NM,81,236598.4198,74719.59259,69510.92593
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",DC,93,357248.6022,101998.4839,89698.56989
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WV,97,144549.8557,61174.95876,55811.76289
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IA,100,221588.36,70072.71,64181.59
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",KS,125,262350.56,60707.32,56361.992
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CT,133,340256.0977,103405.5714,92661.86466
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MN,160,273486.6688,94967.7,84596.34375
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WA,170,281035.5176,80215.98235,76015.26471
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CO,175,341814.0114,74983.14857,72093.99429
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AR,195,202110.6615,60934.18462,55607.15897
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WI,210,224891.9,82634.99048,67577.6
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NV,266,437757.6729,70330.68045,65860.47368
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OK,273,273933.696,65851.59341,58622.66667
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MS,281,292257.6299,67304.40214,62505.32384
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AZ,289,269260.218,69457.60208,62995.30796
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",SC,317,291042.694,73313.4511,64582.54574
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",LA,321,201696.5047,55708.63551,51685.93458
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AL,366,327402.9863,66283.51366,61169.28415
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",KY,368,231088.8804,70844.06793,62596.46467
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MD,372,104027.7258,96030.49462,91802.3414
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MA,375,303224.7813,118023.408,108951.9227
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",VA,389,259329.4396,77604.51414,66964.26478
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IN,451,189404.9867,61093.36364,56426.38803
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MO,477,241236.6897,67417.25786,63215.09853
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",GA,520,257216.2635,70422.54615,65468.37115
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NC,525,199016.7448,72128.43619,64433.23619
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",TN,577,212256.792,57498.7591,53199.53206
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IL,744,244833.1237,69061.54704,63075.26478
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MI,762,185592.353,73367.64173,67250.10892
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OH,791,215325.0607,64650.00506,57322.16814
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",PA,815,371784.9202,76833.49693,65449.68344
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NJ,816,448326.1189,78241.11887,70864.53309
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",FL,1360,325911.2309,67535.54779,60639.69559
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY,1497,320486.837,112767.0635,100613.2672
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",TX,1546,302792.1714,65655.32794,59572.73868
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CA,1671,558256.1939,102545.2478,97690.1538
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,MO,16,313613.6875,57743.1875,47315.625
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,NC,16,261565.5625,60574.4375,48608.0625
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,MN,17,302156.9412,93539.41176,47238.94118
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,GA,19,325412.1579,58335.73684,46685.21053
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,OH,19,337087.1579,44191.10526,39514.68421
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,WI,20,314041.7,93631.55,29459.65
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,FL,35,345785.5143,61588.94286,46028.02857
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,CA,38,596014.0263,64284,59442.94737
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,TX,38,348726.5,62186.07895,36636.81579
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",WV,12,96879.75,38990,35831.08333
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",UT,14,128200.5714,46619.92857,39520.42857
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",OK,16,201513.0625,57524.125,29076.8125
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",DC,17,252067.1765,74209.76471,41408.23529
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",AR,18,73936.88889,28966.55556,27409.94444
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",OR,19,169880.6842,56435.31579,53106.73684
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",KS,20,141786.75,33049.8,28767.95
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",KY,22,128970.8182,40157.90909,36490.81818
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",IA,23,77916.6087,36340.04348,28371.73913
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",CT,26,142851.5769,46859.42308,43753.5
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",CO,27,179739.4444,41866.85185,32845.59259
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",WI,27,116416.1111,44032.66667,38517.81481
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MS,28,119698.7857,37267.39286,32035.89286
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",AZ,29,158382.2759,49197.89655,40937.03448
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",AL,31,143354.2258,31485.80645,30312.03226
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MO,31,112477.8065,34482.25806,32887.09677
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",NJ,34,214919.2647,44463.47059,37375.38235
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",LA,38,130298.3947,41521.5,33884.42105
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MN,38,121714.8158,50883.05263,43526.94737
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",VA,39,241010.2051,69793.5641,55206.64103
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",SC,42,173984.0714,48232.21429,43319.54762
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",WA,43,133290.2326,44681.46512,41691.39535
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MD,44,64018.22727,58989,58221.72727
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",GA,46,112658.7609,34641.3913,33629.63043
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",IN,54,154361.0556,42230.64815,33764.46296
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",TN,56,138416.625,32958.19643,30774.57143
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MI,61,106252.0656,44969.57377,37589.60656
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MA,62,94753.48387,45711.35484,42568.33871
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",IL,66,155741.1667,41229.4697,35965.31818
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",PA,76,241956.5,44098.68421,33692.67105
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",NC,80,108312.875,40654.5375,33500.725
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",FL,100,166641.59,36239.97,31396.17
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",OH,101,151777.1386,42175.19802,34873.55446
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",TX,102,147686.451,38704.82353,33527.08824
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",NY,108,167579.5185,53129.77778,47641.42593
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",CA,121,306408.314,55944.5124,49858.7686
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",UT,12,78599.41667,33558.91667,18726.75
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",DC,13,164105.3077,36271.76923,28520.76923
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",AR,15,67051.33333,26499.06667,23552.53333
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",WV,17,50403.23529,20449.35294,18708.41176
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",OR,18,104497.0556,32612.55556,29463.66667
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",NE,20,75500.8,20688.55,17629.05
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",AZ,21,110004.4762,27729.14286,22843.47619
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",CO,21,128303.2857,25006.85714,20908.57143
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",SC,21,111871.619,30754.2381,25168.09524
"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",KS,22,117825.9545,23040.13636,21886.63636
