DRG Definition,Provider State, Total Discharges ,Average Covered Charges,Average Total Payments,Average Medicare Payments
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NC,478,412415.55,137513.62,121130.37
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",TN,491,403650.59,101030.44,94422.21
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MO,500,430876.32,121473.86,111439.62
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",GA,506,501402.84,121538.47,112259.31
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IL,611,470624.71,131182.25,117858.36
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MI,627,346362.33,129512.12,119945.94
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NJ,647,721114.66,135833.71,122833.45
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OH,667,442993.76,120036.26,105567.15
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",PA,972,754638.56,139338.01,119756.43
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY,1190,604398.05,186591.96,162268.31
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",TX,1210,525524.76,120093.53,107916.61
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CA,1223,1060485.59,196132.24,183908.12
"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",FL,1244,597219.57,118300.38,106577.78
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",VT,12,274821.25,117790.67,109891.33
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WY,16,175566.88,95911.44,94966.44
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AK,18,359359.17,114192.39,87374.44
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MT,25,203280.48,72016.56,71148.8
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",SD,26,234667.46,74113.27,71640.62
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",HI,27,421069.37,142372.67,131832.78
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ME,28,274853.21,100210.96,93452.32
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",RI,35,304819.43,98524.89,91683.46
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",UT,35,195863.71,70517.09,64418.31
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ID,40,200781.45,71396.3,65998.35
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ND,50,251807.96,83276.54,76892.54
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NH,51,301995.22,108662.24,88971.55
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NM,67,220581.82,73477.1,68065.54
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OR,72,294829.08,102236.64,95278.14
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NE,76,225571.29,66782.72,62746.71
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",DE,82,204240.22,86317.66,76866.89
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",DC,96,269290.04,87310.61,73526.21
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WV,102,157389.73,60072.15,55917.03
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",KS,104,308844.94,67695.1,61999.2
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IA,114,257085.07,76189.67,64520.86
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CT,147,305931.83,98079.71,87814.06
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CO,164,313525.87,73661.52,68075.4
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AR,172,199355.67,56168.74,51887.49
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WA,179,303503.74,84579.71,76361.28
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MN,191,289924.37,95120.41,84429.72
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WI,233,225757.92,80097.75,67469.93
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AZ,243,280608.88,68033.3,61583.51
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OK,260,281523.91,62740.73,57872.52
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",LA,270,224652.97,57908.77,52347.7
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MS,280,269660.84,64086.95,58083.23
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",SC,282,290940.48,67832.3,62400.38
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NV,292,486912.26,77698.86,71706.97
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MA,344,215584.28,96821.51,89288.59
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",VA,348,283226.51,81873.44,71232.64
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AL,352,345905.53,64264.87,59305.5
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",KY,364,243677.13,71221.93,63778.15
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MD,371,101837.62,93517.38,90000.82
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IN,437,212764.7,62508.64,58573.47
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MO,440,257819.07,69443.33,63842.64
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",GA,447,258047.07,66786.14,63870.29
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NC,487,200497.91,68784.85,60250.63
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",TN,539,224027.7,58443.06,53561.95
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IL,617,246364.64,68213.98,62882.46
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OH,715,224486.81,64032.44,57229.92
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NJ,741,466284.13,79044.48,72322.2
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MI,756,214512.85,79865.34,73151.09
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",PA,861,390795.08,78322.18,66990.14
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",FL,1373,363659.02,67148.08,61394.33
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",TX,1426,313894.59,65655.56,58168.72
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY,1491,352088.89,111563.86,99186.08
"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CA,1531,563501.35,101522.49,96381.25
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,KY,12,449994.33,83465.17,77902.17
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,CT,13,216158.85,96970.15,81196.77
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,SC,13,420028.54,111414.69,84180.08
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,AZ,16,331280.44,110620.31,57652.69
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,AL,17,397247.18,72263.71,69305.65
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,UT,17,437936.71,145393.06,84076.18
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,VA,17,479561.41,124507.88,93180.94
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,WA,19,545488.16,159310.58,120026.89
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MO,20,210626.15,77628.05,77252.3
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,CO,21,603431.19,119726.71,88022.52
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,NE,22,461924.23,98746.59,93659.36
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,IN,26,794094.42,132152.88,100121.46
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,KS,26,369180.92,83677.65,68267.73
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MI,31,371618.1,105919.77,99980.58
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,NC,32,397911.91,104417.34,83006.75
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,IL,33,614605.64,138606.18,96521
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,TN,33,292064.85,78473.45,72254.67
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MN,34,345637.79,131769.65,90748.82
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,LA,37,444729.78,100785.51,73190.97
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MD,37,185792.35,171274.65,166797.78
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,WI,38,466324.34,123839.16,93461.53
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MA,48,339164.02,112151.4,100830.44
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,GA,49,387514.76,103139.53,80721.39
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,OH,52,458512.67,98763.21,83299.88
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,PA,54,755018.33,138747.3,91303.8
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,NY,59,422115.75,122107.66,108406.22
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,TX,88,473389.63,99345.06,81337.1
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,FL,120,458781.66,117102.62,79308.08
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,CA,134,985144.48,197499.48,164305.16
006 - LIVER TRANSPLANT W/O MCC,OH,11,320387.55,74890.91,29767.27
006 - LIVER TRANSPLANT W/O MCC,SC,11,269742.55,60977.91,34963.27
006 - LIVER TRANSPLANT W/O MCC,NC,13,212611.15,39620.85,35840.31
006 - LIVER TRANSPLANT W/O MCC,NY,13,305829.54,51381.62,47808.77
006 - LIVER TRANSPLANT W/O MCC,MD,18,122373.5,118903.83,111774.94
006 - LIVER TRANSPLANT W/O MCC,FL,20,266658.65,42609.05,31701.85
006 - LIVER TRANSPLANT W/O MCC,IL,21,307607,56463.38,35645.62
006 - LIVER TRANSPLANT W/O MCC,TN,22,221725.45,38662.64,29229.77
006 - LIVER TRANSPLANT W/O MCC,PA,24,394572.83,85989.63,40002.92
006 - LIVER TRANSPLANT W/O MCC,TX,28,221402.93,47046.46,31728.75
006 - LIVER TRANSPLANT W/O MCC,CA,34,494279.85,74322.76,50949.41
007 - LUNG TRANSPLANT,CO,12,549175.92,123804.67,67667.25
007 - LUNG TRANSPLANT,OK,13,424533.62,61361.85,57095.85
007 - LUNG TRANSPLANT,MD,17,186109.65,172286,160193.29
007 - LUNG TRANSPLANT,WA,17,463931.88,182275.18,65684.41
007 - LUNG TRANSPLANT,MI,19,359750.58,102093.58,84260.21
007 - LUNG TRANSPLANT,MO,20,262934.7,98087.85,61778.65
007 - LUNG TRANSPLANT,IL,24,357273.63,82088.71,70018.04
007 - LUNG TRANSPLANT,AZ,28,611775.54,85538.75,72281.29
007 - LUNG TRANSPLANT,MN,28,478334.89,130495.46,89358.79
007 - LUNG TRANSPLANT,OH,28,395019.89,104001.68,60903
007 - LUNG TRANSPLANT,FL,32,666018.97,108486.16,87817.13
007 - LUNG TRANSPLANT,NC,38,488579.18,95276.39,86621.18
007 - LUNG TRANSPLANT,PA,48,830528.54,99551.08,77658.73
007 - LUNG TRANSPLANT,TX,64,421279.75,83972.22,64337.98
007 - LUNG TRANSPLANT,CA,72,714923.38,135054.06,111059.06
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,MI,11,286406.82,49699.82,45622.91
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,SC,11,303179.36,54886.55,50420.36
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,UT,11,230676.73,76133.36,31717.09
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,PA,12,686985.33,71193.5,59671
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,AZ,15,301024.87,53450.73,41356.2
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,NC,15,298211.6,62322.53,46214.07
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,OH,16,329075.06,81906.75,34735.25
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,GA,17,374917.53,57927.35,56468.29
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,NY,21,336204.67,56226.95,52279.86
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,WI,23,333866.22,83501.48,32424.78
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,LA,25,396794.96,54366.04,42914.92
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,MN,27,317310.56,59118.37,47876.22
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,IL,28,346369.11,70929.43,38070.54
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,FL,29,395408.45,72583.21,45296.31
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,TX,32,376297.81,51137.03,40072.88
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,CA,47,606056.49,73367.87,55083.62
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",NV,12,330868.67,53677.92,46870.33
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",WV,13,89000.62,35699.46,33035.69
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MN,14,133771.07,51155.57,36716.5
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",NE,14,117603.57,36775.21,27314
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",CO,15,169384.87,50814.13,45724.07
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",DC,17,185475.59,45566.41,40120.41
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",KS,18,150755,32620.94,31583.06
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",OK,18,222024.06,49991.28,40778.67
"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MS,19,113134.74,34898.79,28766.89
