,DRG Definition,Provider State, Total Discharges ,Average Covered Charges,Average Total Payments,Average Medicare Payments,Percent Actually Paid,Percent Covered by Medicare
21,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MI,71,743991.32,274400.9,233328.56,0.631177283089808,0.313617314782651
22,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,VA,76,905113.25,276849.57,211077.39,0.6941271492821478,0.23320550218439517
23,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MO,80,702176.3,207045.66,203939.59,0.7051372141156003,0.2904392956583695
24,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MA,86,745459.56,284719.9,272276.34,0.618061239968537,0.3652462918310418
25,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,MN,99,736938.9,275309.91,209268.96,0.6264141979748932,0.2839705706945311
26,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NC,107,770162.34,237521.42,216377.33,0.6915956446273391,0.28095028640325365
27,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,PA,115,1459159.23,278427.03,230453.99,0.8091866711489739,0.1579361492987986
28,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,FL,120,971303.07,229138.81,195485.54,0.7640913355704724,0.2012611161622294
29,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,IL,121,877272.87,244531.68,218202.11,0.7212592702199944,0.24872775331579555
30,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,NY,135,926250.33,308204.65,270576.42,0.6672555571451186,0.29212018742276724
31,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,CA,193,1891572.06,346501.03,327570.45,0.8168184880040996,0.17317365641359705
32,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,TX,200,1026271.27,248125.16,200472.48,0.7582265359528187,0.19534063347598146
33,002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,FL,12,412000.75,113900.92,105897.08,0.7235419595716756,0.25703127967606854
34,002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,NY,14,726498.07,244622.57,163532.71,0.6632853133388228,0.22509723941868146
35,002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,TN,14,482098.93,121075.64,107191.43,0.7488572729252894,0.22234322320524544
36,002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,MI,15,507858.6,189676.6,133269.53,0.6265169084465637,0.26241463667249115
37,002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,PA,23,768602.48,140615.78,128131.48,0.817050056877256,0.16670708634715828
38,002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,CA,34,939550.68,153056.32,147722.91,0.8370962596716977,0.1572271865100454
39,002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,TX,35,633284.43,129124.8,113162.63,0.796102992773721,0.1786916346577477
40,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WY,11,367859.45,148823.64,147684.45,0.5954334189321492,0.401469773306082
41,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",VT,12,413727.17,183880.25,176367.0,0.5555519111785673,0.42628817440246913
42,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AK,21,721116.57,155358.24,154248.52,0.7845587711290561,0.21390233759293592
43,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MT,29,269227.69,104099.59,102780.0,0.6133399577138593,0.38175865194252495
44,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",SD,30,485277.5,125203.57,122379.93,0.7419959301636693,0.25218546089608523
45,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",HI,31,534543.32,174067.84,162147.74,0.6743615840153049,0.30333882013528857
46,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",ID,37,345384.14,135064.73,105620.57,0.6089434506170434,0.3058060801517985
47,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",RI,40,453010.9,176375.73,141983.48,0.6106589708989343,0.3134217741780606
48,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",ME,44,387814.07,150486.8,131240.82,0.6119614742188183,0.33841170331958303
49,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NM,59,368949.71,134053.27,120566.64,0.6366624871449282,0.32678339820351127
50,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NH,72,479782.43,165918.69,153922.33,0.6541793120685974,0.32081693779407466
51,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",ND,74,328480.72,120271.09,107490.22,0.6338564710890794,0.32723448730872245
52,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WV,92,278134.13,112180.71,97936.71,0.596666867169448,0.35212043196568504
53,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OR,101,517917.21,174297.44,165226.96,0.663464668416792,0.31902195333497413
54,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",KS,102,520288.17,108333.17,104162.24,0.7917823693742643,0.20020105396592047
55,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",UT,102,355775.5,136709.99,122736.02,0.6157408534314477,0.34498165275574066
56,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IA,114,384667.22,112331.88,106436.25,0.7079764685953744,0.276696958997442
57,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",DC,125,626326.93,167437.98,139648.06,0.7326668039006402,0.22296352481602538
58,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",DE,126,300975.34,143153.29,123363.67,0.5243687074163618,0.4098796599083499
59,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NE,139,379686.9,126770.43,109476.64,0.6661185044835627,0.2883339930874623
60,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WA,155,597995.75,165088.52,145837.46,0.7239302787687036,0.24387708441071695
61,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CT,156,548470.38,168975.35,149445.72,0.6919152680587783,0.2724772849173733
62,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NV,200,708488.39,133423.52,112459.59,0.8116786077468396,0.15873173306340277
63,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WI,209,464059.94,148592.92,129930.6,0.6797980019563853,0.2799866758591573
64,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MS,211,433548.43,102491.17,97778.97,0.7635992592569186,0.22553182812817477
65,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AR,222,302351.89,94915.67,84605.98,0.6860754864141911,0.27982619853972135
66,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CO,224,587986.71,127039.68,116833.2,0.7839412390800465,0.19870040940211048
67,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OK,246,508212.74,106167.05,96450.56,0.7910972282985271,0.18978382950415607
68,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",LA,283,442245.6,115271.59,105575.27,0.7393493796207357,0.23872542768090854
69,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MN,283,448821.49,159621.9,139985.18,0.6443532594662523,0.31189500306680945
70,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MD,295,176013.88,161247.69,156197.01,0.0838921907749548,0.8874130267453908
71,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",KY,317,436911.5,123871.33,112888.51,0.7164841621243662,0.2583784359075007
72,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",SC,336,504382.53,119358.19,109501.98,0.7633578030547569,0.2171010562162016
73,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AZ,343,566649.38,126574.24,119911.53,0.7766268799235252,0.21161503785639013
74,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AL,353,630328.43,124972.1,113773.75,0.8017349463358333,0.1804991566063425
75,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IN,388,424217.84,117174.43,107428.03,0.7237871231440903,0.25323788834528976
76,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MA,388,437965.31,172844.39,159145.79,0.6053468481327893,0.363375332169573
77,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",VA,433,513614.33,147196.39,125561.56,0.713410663600449,0.2444666214823095
78,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",TN,476,385885.13,98191.77,90300.02,0.7455414516750101,0.2340075141014115
79,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MO,486,432736.91,121125.21,116111.79,0.7200950341860138,0.2683195893782206
80,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NC,551,434281.08,135986.07,119280.96,0.6868708395033005,0.2746630362068732
81,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",GA,572,490109.22,121925.09,108155.87,0.7512287363212633,0.22067707683605708
82,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NJ,689,712236.5,139427.3,124494.91,0.8042401646082445,0.17479434148629003
83,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OH,706,443914.97,118859.69,104852.49,0.7322467183298639,0.23619949108722332
84,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MI,733,345797.78,132160.59,119121.94,0.617809605371093,0.34448439778878853
85,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IL,742,487569.7,133171.02,117569.83,0.7268677278346051,0.2411344060141555
86,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",PA,1137,741036.82,139260.95,118425.72,0.8120728333040185,0.15981084448678273
87,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",TX,1271,553283.01,125041.96,110071.88,0.7740000004699222,0.19894317738041514
88,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY,1331,631368.93,190557.84,168804.27,0.6981830575666751,0.2673623328281295
89,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",FL,1353,603357.84,116283.39,106598.35,0.8072729277869332,0.17667517173556577
90,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CA,1436,1033281.31,197901.43,183396.45,0.8084728446312458,0.1774893712148921
91,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AK,16,411086.75,107679.88,106396.56,0.738060445879124,0.2588177799454738
92,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",SD,19,244680.58,72237.79,69807.95,0.7047669659766214,0.28530237258715013
93,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ND,21,270026.52,84965.81,80104.33,0.6853427211519817,0.2966535657312474
94,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",HI,22,405725.14,143487.45,137005.95,0.646343211564361,0.3376816876568211
95,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ME,22,290356.95,106044.45,102298.77,0.6347790194104188,0.35232072109863394
96,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MT,22,193104.14,75964.45,71113.64,0.6066140788074249,0.3682657451052059
97,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",RI,34,258798.12,88375.41,77488.18,0.6585160278598623,0.29941554444058555
98,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ID,36,248999.28,75460.92,73190.64,0.6969432200767809,0.29393916319758034
99,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NH,36,279978.03,84375.89,81358.31,0.6986338892376662,0.29058819365219474
100,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",UT,45,205137.73,71069.07,65346.29,0.6535543705197479,0.31854837235451516
101,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OR,53,257148.25,99635.75,90521.79,0.6125357648749311,0.3520218006539029
102,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",DE,62,198560.34,84103.5,76817.84,0.5764335415622274,0.38687403536879517
103,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NE,64,233928.86,69745.47,65611.38,0.7018517937461842,0.28047578225277553
104,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WV,71,169535.41,64751.0,56735.37,0.6180679894542385,0.3346520352296904
105,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NM,72,225440.94,78750.22,71777.81,0.6506835892362762,0.31838853226924974
106,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",KS,85,271621.07,61636.33,57477.94,0.7730797172693561,0.2116107561169684
107,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IA,93,209151.33,63261.13,57503.45,0.6975341729837433,0.2749370515597486
108,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",DC,104,278255.78,90019.35,78289.73,0.6764870436833333,0.28135886341696115
109,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CO,119,350608.65,74341.46,65266.11,0.7879645582047106,0.1861508836133963
110,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CT,125,336872.34,97598.62,88056.58,0.7102801019519739,0.26139450926721974
111,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AR,141,234848.16,64162.6,57536.05,0.7267911317678623,0.24499255178324583
112,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WA,145,314731.92,83552.01,76052.27,0.7345295958541478,0.24164142613815595
113,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MN,155,271123.57,93595.1,79957.21,0.6547880363186425,0.2949105826542488
114,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WI,161,225455.34,81556.2,67268.12,0.6382600651641253,0.2983656097921655
115,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OK,206,302637.22,62450.97,58787.61,0.7936441195170905,0.1942510904640216
116,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AZ,217,267091.16,70481.18,63960.9,0.7361156393195492,0.23947217122423672
117,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MS,239,252357.69,58159.38,52366.13,0.7695359313203414,0.2075075659473662
118,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AL,253,299820.98,63441.68,55938.87,0.7884014654344736,0.1865742350652046
119,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",SC,253,301300.07,70715.36,62226.49,0.7652992247894268,0.20652663638611168
120,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NV,265,496985.46,76500.9,69707.44,0.8460701445873287,0.1402605219074216
121,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",LA,272,260583.83,64370.78,55486.24,0.7529747720723884,0.21293047999179382
122,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",VA,299,266698.6,75852.18,64037.97,0.7155883832911009,0.24011363389234142
123,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MA,300,224261.27,95936.02,90234.53,0.5722131601234578,0.40236341299592215
124,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",KY,311,230878.67,67590.04,60821.63,0.7072486600862695,0.26343546590943195
125,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MO,326,242951.29,66198.75,62738.75,0.7275225416584534,0.25823592045961147
126,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MD,348,101200.62,93791.82,88736.46,0.07320903765214075,0.8768371181915685
127,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IN,364,212666.64,64989.76,58053.59,0.6944054789223171,0.27297929755226297
128,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NC,389,209874.92,70637.77,60522.31,0.663429198686532,0.28837323678312776
129,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",GA,421,261040.73,67046.8,61935.43,0.7431557902860599,0.237263472255843
130,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",TN,441,232859.46,56848.57,52174.7,0.7558674661531896,0.22406089922221756
131,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IL,520,250998.48,72742.81,63288.84,0.7101862529207349,0.25214829986221426
132,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MI,530,196743.23,72693.78,65927.86,0.6305144527717675,0.3350959522215834
133,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NJ,620,458242.48,81244.52,73225.81,0.8227040845274755,0.1597970794850796
134,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OH,639,226831.88,65021.78,57142.44,0.7133481413635508,0.2519153833226617
135,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",PA,664,380560.36,77084.63,64904.31,0.7974444054026015,0.1705493183788243
136,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",FL,1133,358642.57,65028.78,60047.13,0.8186808108139534,0.16742889724440688
137,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",TX,1154,342534.14,65772.21,60203.48,0.8079834903463928,0.1757590644833242
138,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY,1250,359672.67,111587.97,100648.49,0.6897513230571564,0.2798335775692938
139,"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CA,1295,619749.92,108569.97,102195.93,0.8248164840424668,0.1648986578328239
140,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,CT,11,359959.36,99683.73,95042.36,0.7230694876221583,0.26403636232712496
141,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,OR,12,443488.5,170332.08,121318.17,0.6159267263976406,0.2735542635265627
142,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,OK,15,677304.67,113103.73,84294.07,0.8330090799462523,0.12445517317930202
143,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,UT,15,499794.4,124858.67,113678.6,0.7501799339888563,0.22745072773924638
144,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,CO,18,547219.33,110720.28,82777.5,0.7976674544738761,0.1512693274194097
145,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,KY,19,435692.26,91402.42,75686.05,0.790213349211207,0.1737144699334342
146,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,WA,19,506734.21,140189.89,127926.11,0.7233463081168331,0.25245208923234136
147,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,DC,20,705890.0,175251.15,104433.8,0.7517302270892064,0.14794628058196035
148,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MO,21,368868.1,88630.86,85734.33,0.759722079518397,0.23242543879505984
149,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,SC,21,522622.62,179598.86,82683.67,0.6563507718054761,0.15820912994542793
150,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,KS,23,504346.09,83426.09,81538.13,0.8345856314658848,0.161670986682974
151,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,NC,23,343628.0,95274.04,80470.91,0.722740754536883,0.2341803054465876
152,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,VA,23,486342.09,125137.65,79480.0,0.7426962367168345,0.1634240622685978
153,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,WI,24,687707.75,166926.17,107354.79,0.7572716462770704,0.15610524965001485
154,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,IN,29,719735.41,96165.38,88188.72,0.8663878716207669,0.12252936117176727
155,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,AL,30,333977.9,80967.97,58842.03,0.7575648867784366,0.1761854002914564
156,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MI,32,443143.69,116969.69,95699.72,0.736045683060499,0.21595640908257094
